statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL091;91 years;3.93;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL036;36 years;43.52;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL049;49 years;31.25;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL069;69 years;17.82;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL023;23 years;56.17;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL010;10 years;68.98;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL056;56 years;28.95;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL042;42 years;42.13;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL098;98 years;2.07;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL072;72 years;13.05;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL085;85 years;5.55;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL007;7 years;76.66;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL100;100 years;2.04;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL048;48 years;32.17;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL090;90 years;4.28;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL035;35 years;44.49;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL055;55 years;29.86;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL068;68 years;18.63;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL022;22 years;57.15;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL054;54 years;30.78;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL097;97 years;2.19;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL041;41 years;43.1;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL084;84 years;6.0;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL006;6 years;77.65;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL019;19 years;64.74;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL071;71 years;13.72;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL038;38 years;41.6;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL005;5 years;78.65;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL025;25 years;54.22;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL012;12 years;66.99;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL067;67 years;19.45;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL053;53 years;31.7;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL066;66 years;20.28;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESW;Female;ALT577;Completed age;ALTVOLL040;40 years;44.07;years;LEB007;Average life expectancy [e(x)]
12621;Life tables;JAHRZR;Period of years;2017-P2Y;DINSG;Germany;DG;Germany;GES;Sex;GESM;Male;ALT577;Completed age;ALTVOLL074;74 years;11.73;years;LEB007;Average life expectancy [e(x)]
