statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;4_variable_code;4_variable_label;4_variable_attribute_code;4_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT082;82 years;252183;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT076;76 years;400275;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT022;22 years;185824;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT081;81 years;10700;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT063;63 years;548742;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT085UM;85 years and over;740515;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;;Total;ALT013;Age years (under 1 - 85 and over);ALT008;8 years;732023;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT050;50 years;640697;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT074;74 years;21448;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT057;57 years;667705;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATA;Foreigners;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT061;61 years;39499;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT004;4 years;326760;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;;Total;GES;Sex;GESM;Male;ALT013;Age years (under 1 - 85 and over);ALT044;44 years;476904;number;BEV028;Average population
12411;Current updating of population figures;JAHR;Year;2019;DINSG;Germany;DG;Germany;NAT;Nationality;NATD;Germans;GES;Sex;GESW;Female;ALT013;Age years (under 1 - 85 and over);ALT017;17 years;341841;number;BEV028;Average population
